sea_level,time
millimeters,UTC
1756,1990-06-08T12:00:00Z
1786,1990-06-09T12:00:00Z
1836,1990-06-10T12:00:00Z
1830,1990-06-11T12:00:00Z
1788,1990-06-12T12:00:00Z
NaN,1990-06-13T12:00:00Z
NaN,1990-06-14T12:00:00Z
NaN,1990-06-15T12:00:00Z
NaN,1990-06-16T12:00:00Z
NaN,1990-06-17T12:00:00Z
NaN,1990-06-18T12:00:00Z
NaN,1990-06-19T12:00:00Z
NaN,1990-06-20T12:00:00Z
NaN,1990-06-21T12:00:00Z
NaN,1990-06-22T12:00:00Z
NaN,1990-06-23T12:00:00Z
NaN,1990-06-24T12:00:00Z
NaN,1990-06-25T12:00:00Z
1876,1990-06-26T12:00:00Z
1879,1990-06-27T12:00:00Z
1891,1990-06-28T12:00:00Z
1898,1990-06-29T12:00:00Z
NaN,1990-06-30T12:00:00Z
NaN,1990-07-01T12:00:00Z
NaN,1990-07-02T12:00:00Z
NaN,1990-07-03T12:00:00Z
NaN,1990-07-04T12:00:00Z
NaN,1990-07-05T12:00:00Z
NaN,1990-07-06T12:00:00Z
NaN,1990-07-07T12:00:00Z
NaN,1990-07-08T12:00:00Z
NaN,1990-07-09T12:00:00Z
NaN,1990-07-10T12:00:00Z
1953,1990-07-11T12:00:00Z
1925,1990-07-12T12:00:00Z
1907,1990-07-13T12:00:00Z
1930,1990-07-14T12:00:00Z
1936,1990-07-15T12:00:00Z
1932,1990-07-16T12:00:00Z
NaN,1990-07-17T12:00:00Z
NaN,1990-07-18T12:00:00Z
NaN,1990-07-19T12:00:00Z
1905,1990-07-20T12:00:00Z
1894,1990-07-21T12:00:00Z
1920,1990-07-22T12:00:00Z
1927,1990-07-23T12:00:00Z
1916,1990-07-24T12:00:00Z
1915,1990-07-25T12:00:00Z
NaN,1990-07-26T12:00:00Z
NaN,1990-07-27T12:00:00Z
NaN,1990-07-28T12:00:00Z
NaN,1990-07-29T12:00:00Z
NaN,1990-07-30T12:00:00Z
NaN,1990-07-31T12:00:00Z
1837,1990-08-01T12:00:00Z
NaN,1990-08-02T12:00:00Z
NaN,1990-08-03T12:00:00Z
NaN,1990-08-04T12:00:00Z
1816,1990-08-05T12:00:00Z
1818,1990-08-06T12:00:00Z
1807,1990-08-07T12:00:00Z
1798,1990-08-08T12:00:00Z
1784,1990-08-09T12:00:00Z
1746,1990-08-10T12:00:00Z
NaN,1990-08-11T12:00:00Z
NaN,1990-08-12T12:00:00Z
NaN,1990-08-13T12:00:00Z
NaN,1990-08-14T12:00:00Z
NaN,1990-08-15T12:00:00Z
NaN,1990-08-16T12:00:00Z
NaN,1990-08-17T12:00:00Z
NaN,1990-08-18T12:00:00Z
NaN,1990-08-19T12:00:00Z
NaN,1990-08-20T12:00:00Z
NaN,1990-08-21T12:00:00Z
NaN,1990-08-22T12:00:00Z
NaN,1990-08-23T12:00:00Z
NaN,1990-08-24T12:00:00Z
NaN,1990-08-25T12:00:00Z
NaN,1990-08-26T12:00:00Z
NaN,1990-08-27T12:00:00Z
NaN,1990-08-28T12:00:00Z
NaN,1990-08-29T12:00:00Z
NaN,1990-08-30T12:00:00Z
1815,1990-08-31T12:00:00Z
1850,1990-09-01T12:00:00Z
1864,1990-09-02T12:00:00Z
1870,1990-09-03T12:00:00Z
NaN,1990-09-04T12:00:00Z
NaN,1990-09-05T12:00:00Z
NaN,1990-09-06T12:00:00Z
NaN,1990-09-07T12:00:00Z
NaN,1990-09-08T12:00:00Z
NaN,1990-09-09T12:00:00Z
NaN,1990-09-10T12:00:00Z
NaN,1990-09-11T12:00:00Z
NaN,1990-09-12T12:00:00Z
NaN,1990-09-13T12:00:00Z
NaN,1990-09-14T12:00:00Z
NaN,1990-09-15T12:00:00Z
NaN,1990-09-16T12:00:00Z
NaN,1990-09-17T12:00:00Z
NaN,1990-09-18T12:00:00Z
NaN,1990-09-19T12:00:00Z
NaN,1990-09-20T12:00:00Z
NaN,1990-09-21T12:00:00Z
NaN,1990-09-22T12:00:00Z
NaN,1990-09-23T12:00:00Z
NaN,1990-09-24T12:00:00Z
NaN,1990-09-25T12:00:00Z
NaN,1990-09-26T12:00:00Z
NaN,1990-09-27T12:00:00Z
NaN,1990-09-28T12:00:00Z
NaN,1990-09-29T12:00:00Z
NaN,1990-09-30T12:00:00Z
NaN,1990-10-01T12:00:00Z
NaN,1990-10-02T12:00:00Z
NaN,1990-10-03T12:00:00Z
NaN,1990-10-04T12:00:00Z
NaN,1990-10-05T12:00:00Z
NaN,1990-10-06T12:00:00Z
NaN,1990-10-07T12:00:00Z
NaN,1990-10-08T12:00:00Z
NaN,1990-10-09T12:00:00Z
NaN,1990-10-10T12:00:00Z
NaN,1990-10-11T12:00:00Z
NaN,1990-10-12T12:00:00Z
NaN,1990-10-13T12:00:00Z
NaN,1990-10-14T12:00:00Z
NaN,1990-10-15T12:00:00Z
NaN,1990-10-16T12:00:00Z
NaN,1990-10-17T12:00:00Z
NaN,1990-10-18T12:00:00Z
NaN,1990-10-19T12:00:00Z
NaN,1990-10-20T12:00:00Z
NaN,1990-10-21T12:00:00Z
NaN,1990-10-22T12:00:00Z
NaN,1990-10-23T12:00:00Z
NaN,1990-10-24T12:00:00Z
NaN,1990-10-25T12:00:00Z
NaN,1990-10-26T12:00:00Z
NaN,1990-10-27T12:00:00Z
NaN,1990-10-28T12:00:00Z
NaN,1990-10-29T12:00:00Z
NaN,1990-10-30T12:00:00Z
NaN,1990-10-31T12:00:00Z
NaN,1990-11-01T12:00:00Z
NaN,1990-11-02T12:00:00Z
NaN,1990-11-03T12:00:00Z
NaN,1990-11-04T12:00:00Z
NaN,1990-11-05T12:00:00Z
1816,1990-11-06T12:00:00Z
1790,1990-11-07T12:00:00Z
1782,1990-11-08T12:00:00Z
1801,1990-11-09T12:00:00Z
1798,1990-11-10T12:00:00Z
1795,1990-11-11T12:00:00Z
1792,1990-11-12T12:00:00Z
1777,1990-11-13T12:00:00Z
1756,1990-11-14T12:00:00Z
NaN,1990-11-15T12:00:00Z
NaN,1990-11-16T12:00:00Z
NaN,1990-11-17T12:00:00Z
NaN,1990-11-18T12:00:00Z
1778,1990-11-19T12:00:00Z
1781,1990-11-20T12:00:00Z
1776,1990-11-21T12:00:00Z
1793,1990-11-22T12:00:00Z
1807,1990-11-23T12:00:00Z
1825,1990-11-24T12:00:00Z
1839,1990-11-25T12:00:00Z
1836,1990-11-26T12:00:00Z
1823,1990-11-27T12:00:00Z
1790,1990-11-28T12:00:00Z
1814,1990-11-29T12:00:00Z
1846,1990-11-30T12:00:00Z
1853,1990-12-01T12:00:00Z
1861,1990-12-02T12:00:00Z
1844,1990-12-03T12:00:00Z
1851,1990-12-04T12:00:00Z
1847,1990-12-05T12:00:00Z
1868,1990-12-06T12:00:00Z
1913,1990-12-07T12:00:00Z
1938,1990-12-08T12:00:00Z
1957,1990-12-09T12:00:00Z
1952,1990-12-10T12:00:00Z
1910,1990-12-11T12:00:00Z
1864,1990-12-12T12:00:00Z
1872,1990-12-13T12:00:00Z
1863,1990-12-14T12:00:00Z
1839,1990-12-15T12:00:00Z
1830,1990-12-16T12:00:00Z
1833,1990-12-17T12:00:00Z
1774,1990-12-18T12:00:00Z
1778,1990-12-19T12:00:00Z
1825,1990-12-20T12:00:00Z
1834,1990-12-21T12:00:00Z
1848,1990-12-22T12:00:00Z
1876,1990-12-23T12:00:00Z
1897,1990-12-24T12:00:00Z
1863,1990-12-25T12:00:00Z
1840,1990-12-26T12:00:00Z
1885,1990-12-27T12:00:00Z
1894,1990-12-28T12:00:00Z
1888,1990-12-29T12:00:00Z
1905,1990-12-30T12:00:00Z
1896,1990-12-31T12:00:00Z
1898,1991-01-01T12:00:00Z
1916,1991-01-02T12:00:00Z
1944,1991-01-03T12:00:00Z
1955,1991-01-04T12:00:00Z
1945,1991-01-05T12:00:00Z
1957,1991-01-06T12:00:00Z
1950,1991-01-07T12:00:00Z
1921,1991-01-08T12:00:00Z
1915,1991-01-09T12:00:00Z
1892,1991-01-10T12:00:00Z
1879,1991-01-11T12:00:00Z
